Operation,Request time,Response time
GetPaymentMethods,1/5/2023 15:37:56.670,1/5/2023 15:38:13.770
GetOrderList,1/5/2023 15:50:47.900,1/5/2023 15:51:05.700
ModifyItem,1/5/2023 16:03:39.130,1/5/2023 16:03:49.830
GetOrderList,1/5/2023 16:16:30.360,1/5/2023 16:16:47.260
GetOrder,1/5/2023 16:29:21.590,1/5/2023 16:29:40.190
SetDeliveryAddress,1/5/2023 16:42:12.820,1/5/2023 16:42:45.020
SetDeliveryAddress,1/5/2023 16:55:04.050,1/5/2023 16:55:18.850
GetItem,1/5/2023 17:07:55.280,1/5/2023 17:08:06.480
Login,1/5/2023 17:20:46.510,1/5/2023 17:21:19.110
GetTrackingData,1/5/2023 17:33:37.740,1/5/2023 17:33:38.740
GetOrder,1/5/2023 17:46:28.970,1/5/2023 17:46:38.470
ModifyItem,1/5/2023 17:59:20.200,1/5/2023 17:59:21.200
ModifyOrder,1/5/2023 18:12:11.430,1/5/2023 18:12:17.730
GetPaymentList,1/5/2023 18:25:02.660,1/5/2023 18:25:06.960
ModifyItem,1/5/2023 18:37:53.890,1/5/2023 18:38:06.990
SetPayment,1/5/2023 18:50:45.120,1/5/2023 18:50:54.320
GetItemList,1/5/2023 19:03:36.350,1/5/2023 19:03:59.650
GetOrder,1/5/2023 19:16:27.580,1/5/2023 19:16:41.880
GetOrderList,1/5/2023 19:29:18.810,1/5/2023 19:29:30.510
SendNotification,1/5/2023 19:42:10.040,1/5/2023 19:42:13.940
GetPaymentList,1/5/2023 19:55:01.270,1/5/2023 19:55:30.770
GetTrackingData,1/5/2023 20:07:52.500,1/5/2023 20:08:09.800
GetTrackingData,1/5/2023 20:20:43.730,1/5/2023 20:21:10.930
GetItem,1/5/2023 20:33:34.960,1/5/2023 20:33:55.060
Login,1/5/2023 20:46:26.190,1/5/2023 20:46:37.090
GetItemList,1/5/2023 20:59:17.420,1/5/2023 20:59:32.220
GetOrderList,1/5/2023 21:12:08.650,1/5/2023 21:12:34.350
SendNotification,1/5/2023 21:24:59.880,1/5/2023 21:25:20.180
AddItemToOrder,1/5/2023 21:37:51.110,1/5/2023 21:38:24.210
SendNotification,1/5/2023 21:50:42.340,1/5/2023 21:51:08.440
GetOrder,1/5/2023 22:03:33.570,1/5/2023 22:03:53.870
SetPayment,1/5/2023 22:16:24.800,1/5/2023 22:16:55.100
SetDeliveryAddress,1/5/2023 22:29:16.030,1/5/2023 22:29:22.530
GetItemList,1/5/2023 22:42:07.260,1/5/2023 22:42:40.460
Login,1/5/2023 22:54:58.490,1/5/2023 22:55:16.790
Login,1/5/2023 23:07:49.720,1/5/2023 23:08:12.220
Login,1/5/2023 23:20:40.950,1/5/2023 23:20:44.450
ModifyItem,1/5/2023 23:33:32.180,1/5/2023 23:33:57.080
GetItemList,1/5/2023 23:46:23.410,1/5/2023 23:46:52.410
GetItemList,1/5/2023 23:59:14.640,1/5/2023 23:59:40.040
ModifyItem,2/5/2023 00:12:05.870,2/5/2023 00:12:16.270
Login,2/5/2023 00:24:57.100,2/5/2023 00:25:15.400
SetPayment,2/5/2023 00:37:48.330,2/5/2023 00:38:12.030
ModifyItem,2/5/2023 00:50:39.560,2/5/2023 00:50:43.360
GetItem,2/5/2023 01:03:30.790,2/5/2023 01:03:58.290
AddItemToOrder,2/5/2023 01:16:22.020,2/5/2023 01:16:34.120
ModifyItem,2/5/2023 01:29:13.250,2/5/2023 01:29:32.950
GetTrackingData,2/5/2023 01:42:04.480,2/5/2023 01:42:18.780
ModifyItem,2/5/2023 01:54:55.710,2/5/2023 01:55:14.910
SetDeliveryAddress,2/5/2023 02:07:46.940,2/5/2023 02:08:12.840
GetPaymentMethods,2/5/2023 02:20:38.170,2/5/2023 02:20:38.470
ModifyOrder,2/5/2023 02:33:29.400,2/5/2023 02:33:35.200
ModifyOrder,2/5/2023 02:46:20.630,2/5/2023 02:46:34.230
GetPaymentMethods,2/5/2023 02:59:11.860,2/5/2023 02:59:31.160
GetItem,2/5/2023 03:12:03.090,2/5/2023 03:12:21.190
SendNotification,2/5/2023 03:24:54.320,2/5/2023 03:25:07.620
SendNotification,2/5/2023 03:37:45.550,2/5/2023 03:37:52.050
GetItem,2/5/2023 03:50:36.780,2/5/2023 03:50:53.580
SendNotification,2/5/2023 04:03:28.010,2/5/2023 04:03:56.910
SendNotification,2/5/2023 04:16:19.240,2/5/2023 04:16:28.940
GetPaymentMethods,2/5/2023 04:29:10.470,2/5/2023 04:29:23.870
GetOrderList,2/5/2023 04:42:01.700,2/5/2023 04:42:34.300
GetItemList,2/5/2023 04:54:52.930,2/5/2023 04:55:07.930
SetDeliveryAddress,2/5/2023 05:07:44.160,2/5/2023 05:07:50.160
ModifyOrder,2/5/2023 05:20:35.390,2/5/2023 05:21:00.790
GetOrder,2/5/2023 05:33:26.620,2/5/2023 05:33:47.820
GetOrder,2/5/2023 05:46:17.850,2/5/2023 05:46:46.850
ModifyItem,2/5/2023 05:59:09.080,2/5/2023 05:59:25.880
Login,2/5/2023 06:12:00.310,2/5/2023 06:12:29.910
ModifyItem,2/5/2023 06:24:51.540,2/5/2023 06:24:53.740
SendNotification,2/5/2023 06:37:42.770,2/5/2023 06:38:11.670
AddItemToOrder,2/5/2023 06:50:34.000,2/5/2023 06:50:39.900
GetOrderList,2/5/2023 07:03:25.230,2/5/2023 07:03:43.430
GetOrder,2/5/2023 07:16:16.460,2/5/2023 07:16:29.760
GetPaymentList,2/5/2023 07:29:07.690,2/5/2023 07:29:12.390
GetItemList,2/5/2023 07:41:58.920,2/5/2023 07:42:22.220
GetItem,2/5/2023 07:54:50.150,2/5/2023 07:55:21.950
SetDeliveryAddress,2/5/2023 08:07:41.380,2/5/2023 08:08:11.280
GetItemList,2/5/2023 08:20:32.610,2/5/2023 08:21:06.010
Login,2/5/2023 08:33:23.840,2/5/2023 08:33:24.240
AddItemToOrder,2/5/2023 08:46:15.070,2/5/2023 08:46:23.870
GetItemList,2/5/2023 08:59:06.300,2/5/2023 08:59:39.000
SetDeliveryAddress,2/5/2023 09:11:57.530,2/5/2023 09:12:06.830
GetPaymentMethods,2/5/2023 09:24:48.760,2/5/2023 09:25:11.460
AddItemToOrder,2/5/2023 09:37:39.990,2/5/2023 09:38:09.290
GetPaymentList,2/5/2023 09:50:31.220,2/5/2023 09:50:47.020
SetPayment,2/5/2023 10:03:22.450,2/5/2023 10:03:53.450
SetDeliveryAddress,2/5/2023 10:16:13.680,2/5/2023 10:16:30.680
GetItemList,2/5/2023 10:29:04.910,2/5/2023 10:29:23.610
GetTrackingData,2/5/2023 10:41:56.140,2/5/2023 10:41:59.540
SendNotification,2/5/2023 10:54:47.370,2/5/2023 10:54:49.770
GetOrderList,2/5/2023 11:07:38.600,2/5/2023 11:07:51.500
GetOrderList,2/5/2023 11:20:29.830,2/5/2023 11:20:47.430
GetItem,2/5/2023 11:33:21.060,2/5/2023 11:33:23.760
AddItemToOrder,2/5/2023 11:46:12.290,2/5/2023 11:46:29.890
SetPayment,2/5/2023 11:59:03.520,2/5/2023 11:59:29.620
GetOrder,2/5/2023 12:11:54.750,2/5/2023 12:11:57.850
SendNotification,2/5/2023 12:24:45.980,2/5/2023 12:24:53.880
SendNotification,2/5/2023 12:37:37.210,2/5/2023 12:37:48.610
GetPaymentMethods,2/5/2023 12:50:28.440,2/5/2023 12:51:00.940
GetTrackingData,2/5/2023 13:03:19.670,2/5/2023 13:03:28.670
GetTrackingData,2/5/2023 13:16:10.900,2/5/2023 13:16:13.100
GetItem,2/5/2023 13:29:02.130,2/5/2023 13:29:28.130
SendNotification,2/5/2023 13:41:53.360,2/5/2023 13:42:09.560
SendNotification,2/5/2023 13:54:44.590,2/5/2023 13:55:07.390
SetPayment,2/5/2023 14:07:35.820,2/5/2023 14:07:47.220
GetPaymentList,2/5/2023 14:20:27.050,2/5/2023 14:20:43.550
GetPaymentList,2/5/2023 14:33:18.280,2/5/2023 14:33:51.980
GetPaymentMethods,2/5/2023 14:46:09.510,2/5/2023 14:46:17.010
ModifyItem,2/5/2023 14:59:00.740,2/5/2023 14:59:09.840
SetDeliveryAddress,2/5/2023 15:11:51.970,2/5/2023 15:12:05.570
ModifyItem,2/5/2023 15:24:43.200,2/5/2023 15:25:01.500
GetOrderList,2/5/2023 15:37:34.430,2/5/2023 15:38:01.830
GetPaymentMethods,2/5/2023 15:50:25.660,2/5/2023 15:50:43.760
GetPaymentList,2/5/2023 16:03:16.890,2/5/2023 16:03:49.290
GetPaymentMethods,2/5/2023 16:16:08.120,2/5/2023 16:16:11.420
GetPaymentList,2/5/2023 16:28:59.350,2/5/2023 16:29:02.550
GetOrderList,2/5/2023 16:41:50.580,2/5/2023 16:42:11.880
SetPayment,2/5/2023 16:54:41.810,2/5/2023 16:54:50.410
ModifyOrder,2/5/2023 17:07:33.040,2/5/2023 17:07:46.040
GetItemList,2/5/2023 17:20:24.270,2/5/2023 17:20:48.370
GetPaymentList,2/5/2023 17:33:15.500,2/5/2023 17:33:29.700
SendNotification,2/5/2023 17:46:06.730,2/5/2023 17:46:22.130
GetPaymentList,2/5/2023 17:58:57.960,2/5/2023 17:59:06.060
SetDeliveryAddress,2/5/2023 18:11:49.190,2/5/2023 18:12:17.390
GetOrder,2/5/2023 18:24:40.420,2/5/2023 18:24:49.920
Login,2/5/2023 18:37:31.650,2/5/2023 18:38:05.550
ModifyItem,2/5/2023 18:50:22.880,2/5/2023 18:50:35.180
Login,2/5/2023 19:03:14.110,2/5/2023 19:03:33.810
GetOrderList,2/5/2023 19:16:05.340,2/5/2023 19:16:06.840
GetPaymentList,2/5/2023 19:28:56.570,2/5/2023 19:29:09.170
GetOrderList,2/5/2023 19:41:47.800,2/5/2023 19:42:16.700
GetPaymentList,2/5/2023 19:54:39.030,2/5/2023 19:55:08.530
AddItemToOrder,2/5/2023 20:07:30.260,2/5/2023 20:07:43.060
Login,2/5/2023 20:20:21.490,2/5/2023 20:20:46.790
ModifyItem,2/5/2023 20:33:12.720,2/5/2023 20:33:20.220
GetItemList,2/5/2023 20:46:03.950,2/5/2023 20:46:34.550
SetDeliveryAddress,2/5/2023 20:58:55.180,2/5/2023 20:59:03.580
GetPaymentList,2/5/2023 21:11:46.410,2/5/2023 21:12:14.710
GetOrder,2/5/2023 21:24:37.640,2/5/2023 21:24:38.040
GetItem,2/5/2023 21:37:28.870,2/5/2023 21:37:40.270
ModifyItem,2/5/2023 21:50:20.100,2/5/2023 21:50:30.500
ModifyItem,2/5/2023 22:03:11.330,2/5/2023 22:03:15.230
GetPaymentMethods,2/5/2023 22:16:02.560,2/5/2023 22:16:24.660
SetDeliveryAddress,2/5/2023 22:28:53.790,2/5/2023 22:29:24.090
GetOrder,2/5/2023 22:41:45.020,2/5/2023 22:42:13.720
GetItem,2/5/2023 22:54:36.250,2/5/2023 22:54:48.250
GetPaymentList,2/5/2023 23:07:27.480,2/5/2023 23:07:57.880
SetPayment,2/5/2023 23:20:18.710,2/5/2023 23:20:51.910
SendNotification,2/5/2023 23:33:09.940,2/5/2023 23:33:32.240
GetOrder,2/5/2023 23:46:01.170,2/5/2023 23:46:15.670
ModifyOrder,2/5/2023 23:58:52.400,2/5/2023 23:59:07.500
SendNotification,3/5/2023 00:11:43.630,3/5/2023 00:12:10.530
SetDeliveryAddress,3/5/2023 00:24:34.860,3/5/2023 00:25:06.260
GetPaymentMethods,3/5/2023 00:37:26.090,3/5/2023 00:37:32.090
GetItem,3/5/2023 00:50:17.320,3/5/2023 00:50:25.320
GetItemList,3/5/2023 01:03:08.550,3/5/2023 01:03:32.850
ModifyOrder,3/5/2023 01:15:59.780,3/5/2023 01:16:05.080
ModifyOrder,3/5/2023 01:28:51.010,3/5/2023 01:29:00.810
SendNotification,3/5/2023 01:41:42.240,3/5/2023 01:41:50.140
GetOrderList,3/5/2023 01:54:33.470,3/5/2023 01:54:43.470
AddItemToOrder,3/5/2023 02:07:24.700,3/5/2023 02:07:51.900
GetItem,3/5/2023 02:20:15.930,3/5/2023 02:20:28.630
Login,3/5/2023 02:33:07.160,3/5/2023 02:33:14.060
GetOrderList,3/5/2023 02:45:58.390,3/5/2023 02:46:11.390
AddItemToOrder,3/5/2023 02:58:49.620,3/5/2023 02:58:53.420
GetPaymentList,3/5/2023 03:11:40.850,3/5/2023 03:11:47.350
GetTrackingData,3/5/2023 03:24:32.080,3/5/2023 03:24:52.880
GetItem,3/5/2023 03:37:23.310,3/5/2023 03:37:48.310
SetPayment,3/5/2023 03:50:14.540,3/5/2023 03:50:36.140
GetItem,3/5/2023 04:03:05.770,3/5/2023 04:03:10.770
GetPaymentMethods,3/5/2023 04:15:57.000,3/5/2023 04:16:12.400
ModifyItem,3/5/2023 04:28:48.230,3/5/2023 04:28:49.130
SetPayment,3/5/2023 04:41:39.460,3/5/2023 04:42:01.660
GetItem,3/5/2023 04:54:30.690,3/5/2023 04:54:45.290
SendNotification,3/5/2023 05:07:21.920,3/5/2023 05:07:45.220
SendNotification,3/5/2023 05:20:13.150,3/5/2023 05:20:28.950
ModifyOrder,3/5/2023 05:33:04.380,3/5/2023 05:33:04.880
GetPaymentList,3/5/2023 05:45:55.610,3/5/2023 05:45:56.210
SetDeliveryAddress,3/5/2023 05:58:46.840,3/5/2023 05:58:58.340
GetItem,3/5/2023 06:11:38.070,3/5/2023 06:12:01.070
GetTrackingData,3/5/2023 06:24:29.300,3/5/2023 06:24:35.600
SendNotification,3/5/2023 06:37:20.530,3/5/2023 06:37:51.930
SetPayment,3/5/2023 06:50:11.760,3/5/2023 06:50:32.660
GetItem,3/5/2023 07:03:02.990,3/5/2023 07:03:16.990
ModifyItem,3/5/2023 07:15:54.220,3/5/2023 07:16:13.420
GetPaymentList,3/5/2023 07:28:45.450,3/5/2023 07:29:09.250
AddItemToOrder,3/5/2023 07:41:36.680,3/5/2023 07:41:51.580
SetDeliveryAddress,3/5/2023 07:54:27.910,3/5/2023 07:54:48.510
GetItemList,3/5/2023 08:07:19.140,3/5/2023 08:07:36.540
GetOrder,3/5/2023 08:20:10.370,3/5/2023 08:20:21.770
SendNotification,3/5/2023 08:33:01.600,3/5/2023 08:33:02.600
GetOrderList,3/5/2023 08:45:52.830,3/5/2023 08:46:16.330
SetDeliveryAddress,3/5/2023 08:58:44.060,3/5/2023 08:58:51.460
GetItem,3/5/2023 09:11:35.290,3/5/2023 09:11:36.790
SetDeliveryAddress,3/5/2023 09:24:26.520,3/5/2023 09:24:26.620
GetPaymentMethods,3/5/2023 09:37:17.750,3/5/2023 09:37:39.550
SendNotification,3/5/2023 09:50:08.980,3/5/2023 09:50:20.680
GetOrder,3/5/2023 10:03:00.210,3/5/2023 10:03:17.410
GetItemList,3/5/2023 10:15:51.440,3/5/2023 10:16:15.040
GetItemList,3/5/2023 10:28:42.670,3/5/2023 10:28:54.670
Login,3/5/2023 10:41:33.900,3/5/2023 10:42:01.300
GetOrder,3/5/2023 10:54:25.130,3/5/2023 10:54:52.830
GetPaymentMethods,3/5/2023 11:07:16.360,3/5/2023 11:07:48.360
GetOrderList,3/5/2023 11:20:07.590,3/5/2023 11:20:30.990
AddItemToOrder,3/5/2023 11:32:58.820,3/5/2023 11:33:15.220
GetTrackingData,3/5/2023 11:45:50.050,3/5/2023 11:46:18.150
GetTrackingData,3/5/2023 11:58:41.280,3/5/2023 11:59:03.680
ModifyOrder,3/5/2023 12:11:32.510,3/5/2023 12:11:41.510
GetOrderList,3/5/2023 12:24:23.740,3/5/2023 12:24:36.040
GetTrackingData,3/5/2023 12:37:14.970,3/5/2023 12:37:43.370
ModifyOrder,3/5/2023 12:50:06.200,3/5/2023 12:50:17.800
GetPaymentList,3/5/2023 13:02:57.430,3/5/2023 13:03:24.730
GetPaymentMethods,3/5/2023 13:15:48.660,3/5/2023 13:15:58.860
SendNotification,3/5/2023 13:28:39.890,3/5/2023 13:28:52.790
ModifyOrder,3/5/2023 13:41:31.120,3/5/2023 13:41:34.620
AddItemToOrder,3/5/2023 13:54:22.350,3/5/2023 13:54:45.850
GetItemList,3/5/2023 14:07:13.580,3/5/2023 14:07:16.480
SetDeliveryAddress,3/5/2023 14:20:04.810,3/5/2023 14:20:31.210
GetOrderList,3/5/2023 14:32:56.040,3/5/2023 14:33:19.940
GetPaymentList,3/5/2023 14:45:47.270,3/5/2023 14:46:08.670
SendNotification,3/5/2023 14:58:38.500,3/5/2023 14:58:45.000
GetItemList,3/5/2023 15:11:29.730,3/5/2023 15:11:34.630
SetDeliveryAddress,3/5/2023 15:24:20.960,3/5/2023 15:24:26.760
GetTrackingData,3/5/2023 15:37:12.190,3/5/2023 15:37:15.190
GetOrder,3/5/2023 15:50:03.420,3/5/2023 15:50:32.020
SendNotification,3/5/2023 16:02:54.650,3/5/2023 16:02:55.850
GetOrderList,3/5/2023 16:15:45.880,3/5/2023 16:15:56.980
GetPaymentMethods,3/5/2023 16:28:37.110,3/5/2023 16:29:10.310
AddItemToOrder,3/5/2023 16:41:28.340,3/5/2023 16:41:31.140
AddItemToOrder,3/5/2023 16:54:19.570,3/5/2023 16:54:44.670
ModifyOrder,3/5/2023 17:07:10.800,3/5/2023 17:07:20.300
AddItemToOrder,3/5/2023 17:20:02.030,3/5/2023 17:20:08.830
SetDeliveryAddress,3/5/2023 17:32:53.260,3/5/2023 17:33:07.160
AddItemToOrder,3/5/2023 17:45:44.490,3/5/2023 17:45:45.890
ModifyOrder,3/5/2023 17:58:35.720,3/5/2023 17:58:55.320
GetOrderList,3/5/2023 18:11:26.950,3/5/2023 18:11:51.350
GetPaymentMethods,3/5/2023 18:24:18.180,3/5/2023 18:24:23.080
GetItem,3/5/2023 18:37:09.410,3/5/2023 18:37:32.310
GetPaymentList,3/5/2023 18:50:00.640,3/5/2023 18:50:06.340
GetItemList,3/5/2023 19:02:51.870,3/5/2023 19:03:11.370
GetItemList,3/5/2023 19:15:43.100,3/5/2023 19:15:56.200
SetDeliveryAddress,3/5/2023 19:28:34.330,3/5/2023 19:28:48.130
SendNotification,3/5/2023 19:41:25.560,3/5/2023 19:41:50.560
GetPaymentList,3/5/2023 19:54:16.790,3/5/2023 19:54:17.190
ModifyItem,3/5/2023 20:07:08.020,3/5/2023 20:07:33.220
GetOrderList,3/5/2023 20:19:59.250,3/5/2023 20:20:00.950
GetTrackingData,3/5/2023 20:32:50.480,3/5/2023 20:32:56.980
GetItemList,3/5/2023 20:45:41.710,3/5/2023 20:45:42.310
GetOrder,3/5/2023 20:58:32.940,3/5/2023 20:58:40.940
SetDeliveryAddress,3/5/2023 21:11:24.170,3/5/2023 21:11:37.270
GetOrderList,3/5/2023 21:24:15.400,3/5/2023 21:24:48.500
GetItemList,3/5/2023 21:37:06.630,3/5/2023 21:37:12.930
ModifyOrder,3/5/2023 21:49:57.860,3/5/2023 21:50:02.160
GetPaymentList,3/5/2023 22:02:49.090,3/5/2023 22:03:02.190
ModifyItem,3/5/2023 22:15:40.320,3/5/2023 22:15:58.920
ModifyOrder,3/5/2023 22:28:31.550,3/5/2023 22:28:56.750
GetTrackingData,3/5/2023 22:41:22.780,3/5/2023 22:41:46.180
SendNotification,3/5/2023 22:54:14.010,3/5/2023 22:54:34.310
SendNotification,3/5/2023 23:07:05.240,3/5/2023 23:07:10.940
ModifyItem,3/5/2023 23:19:56.470,3/5/2023 23:20:19.470
SendNotification,3/5/2023 23:32:47.700,3/5/2023 23:32:55.600
ModifyItem,3/5/2023 23:45:38.930,3/5/2023 23:45:49.530
ModifyOrder,3/5/2023 23:58:30.160,3/5/2023 23:58:52.260
GetTrackingData,4/5/2023 00:11:21.390,4/5/2023 00:11:55.190
Login,4/5/2023 00:24:12.620,4/5/2023 00:24:31.020
SetDeliveryAddress,4/5/2023 00:37:03.850,4/5/2023 00:37:15.250
GetPaymentList,4/5/2023 00:49:55.080,4/5/2023 00:50:13.580
AddItemToOrder,4/5/2023 01:02:46.310,4/5/2023 01:02:49.510
ModifyItem,4/5/2023 01:15:37.540,4/5/2023 01:15:57.440
ModifyItem,4/5/2023 01:28:28.770,4/5/2023 01:28:41.570
AddItemToOrder,4/5/2023 01:41:20.000,4/5/2023 01:41:48.900
ModifyOrder,4/5/2023 01:54:11.230,4/5/2023 01:54:19.230
GetItem,4/5/2023 02:07:02.460,4/5/2023 02:07:29.660
GetTrackingData,4/5/2023 02:19:53.690,4/5/2023 02:19:56.990
GetOrder,4/5/2023 02:32:44.920,4/5/2023 02:32:58.820
SendNotification,4/5/2023 02:45:36.150,4/5/2023 02:46:01.250
GetItem,4/5/2023 02:58:27.380,4/5/2023 02:58:36.080
Login,4/5/2023 03:11:18.610,4/5/2023 03:11:35.010
GetPaymentList,4/5/2023 03:24:09.840,4/5/2023 03:24:17.140
ModifyOrder,4/5/2023 03:37:01.070,4/5/2023 03:37:12.970
ModifyItem,4/5/2023 03:49:52.300,4/5/2023 03:50:00.400
SendNotification,4/5/2023 04:02:43.530,4/5/2023 04:03:10.530
SetPayment,4/5/2023 04:15:34.760,4/5/2023 04:15:54.760
GetItem,4/5/2023 04:28:25.990,4/5/2023 04:28:56.790
SetDeliveryAddress,4/5/2023 04:41:17.220,4/5/2023 04:41:44.320
GetPaymentList,4/5/2023 04:54:08.450,4/5/2023 04:54:12.750
SetPayment,4/5/2023 05:06:59.680,4/5/2023 05:07:10.480
GetItem,4/5/2023 05:19:50.910,4/5/2023 05:19:59.710
ModifyItem,4/5/2023 05:32:42.140,4/5/2023 05:32:57.440
Login,4/5/2023 05:45:33.370,4/5/2023 05:45:57.670
AddItemToOrder,4/5/2023 05:58:24.600,4/5/2023 05:58:49.800
SetPayment,4/5/2023 06:11:15.830,4/5/2023 06:11:31.430
ModifyItem,4/5/2023 06:24:07.060,4/5/2023 06:24:22.860
GetItem,4/5/2023 06:36:58.290,4/5/2023 06:37:14.790
GetPaymentMethods,4/5/2023 06:49:49.520,4/5/2023 06:50:08.120
ModifyItem,4/5/2023 07:02:40.750,4/5/2023 07:02:48.150
GetItem,4/5/2023 07:15:31.980,4/5/2023 07:15:45.480
SendNotification,4/5/2023 07:28:23.210,4/5/2023 07:28:29.510
GetOrder,4/5/2023 07:41:14.440,4/5/2023 07:41:20.240
GetPaymentMethods,4/5/2023 07:54:05.670,4/5/2023 07:54:27.570
GetPaymentMethods,4/5/2023 08:06:56.900,4/5/2023 08:07:11.600
SetDeliveryAddress,4/5/2023 08:19:48.130,4/5/2023 08:19:54.930
SetPayment,4/5/2023 08:32:39.360,4/5/2023 08:32:49.660
GetTrackingData,4/5/2023 08:45:30.590,4/5/2023 08:45:47.790
GetOrderList,4/5/2023 08:58:21.820,4/5/2023 08:58:25.220
GetItem,4/5/2023 09:11:13.050,4/5/2023 09:11:15.450
GetItemList,4/5/2023 09:24:04.280,4/5/2023 09:24:04.380
SetPayment,4/5/2023 09:36:55.510,4/5/2023 09:37:13.610
GetTrackingData,4/5/2023 09:49:46.740,4/5/2023 09:50:12.440
SetPayment,4/5/2023 10:02:37.970,4/5/2023 10:02:46.670
ModifyItem,4/5/2023 10:15:29.200,4/5/2023 10:15:54.100
GetItemList,4/5/2023 10:28:20.430,4/5/2023 10:28:22.030
GetOrderList,4/5/2023 10:41:11.660,4/5/2023 10:41:18.960
GetTrackingData,4/5/2023 10:54:02.890,4/5/2023 10:54:21.190
GetItemList,4/5/2023 11:06:54.120,4/5/2023 11:07:24.020
ModifyItem,4/5/2023 11:19:45.350,4/5/2023 11:20:06.750
Login,4/5/2023 11:32:36.580,4/5/2023 11:33:01.480
SendNotification,4/5/2023 11:45:27.810,4/5/2023 11:45:50.310
Login,4/5/2023 11:58:19.040,4/5/2023 11:58:49.740
GetOrder,4/5/2023 12:11:10.270,4/5/2023 12:11:16.770
GetTrackingData,4/5/2023 12:24:01.500,4/5/2023 12:24:24.600
GetPaymentMethods,4/5/2023 12:36:52.730,4/5/2023 12:36:53.330
Login,4/5/2023 12:49:43.960,4/5/2023 12:49:49.660
SetDeliveryAddress,4/5/2023 13:02:35.190,4/5/2023 13:02:49.790
SetPayment,4/5/2023 13:15:26.420,4/5/2023 13:15:29.420
GetItemList,4/5/2023 13:28:17.650,4/5/2023 13:28:30.350
ModifyOrder,4/5/2023 13:41:08.880,4/5/2023 13:41:35.780
AddItemToOrder,4/5/2023 13:54:00.110,4/5/2023 13:54:06.610
GetItemList,4/5/2023 14:06:51.340,4/5/2023 14:07:06.140
GetOrder,4/5/2023 14:19:42.570,4/5/2023 14:20:11.970
AddItemToOrder,4/5/2023 14:32:33.800,4/5/2023 14:33:00.000
SetPayment,4/5/2023 14:45:25.030,4/5/2023 14:45:46.930
SetPayment,4/5/2023 14:58:16.260,4/5/2023 14:58:28.560
GetOrderList,4/5/2023 15:11:07.490,4/5/2023 15:11:16.790
SetPayment,4/5/2023 15:23:58.720,4/5/2023 15:24:14.120
Login,4/5/2023 15:36:49.950,4/5/2023 15:37:21.950
GetItemList,4/5/2023 15:49:41.180,4/5/2023 15:49:48.180
ModifyOrder,4/5/2023 16:02:32.410,4/5/2023 16:02:54.010
GetPaymentMethods,4/5/2023 16:15:23.640,4/5/2023 16:15:51.640
GetTrackingData,4/5/2023 16:28:14.870,4/5/2023 16:28:46.270
GetItem,4/5/2023 16:41:06.100,4/5/2023 16:41:17.700
SetPayment,4/5/2023 16:53:57.330,4/5/2023 16:54:31.130
Login,4/5/2023 17:06:48.560,4/5/2023 17:06:52.160
SendNotification,4/5/2023 17:19:39.790,4/5/2023 17:19:59.890
SetPayment,4/5/2023 17:32:31.020,4/5/2023 17:33:00.020
